Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,3080.000000,3080.000000,3020.000000,3020.000000,2875.031494,137265100
2020-07-27,3020.000000,3050.000000,3020.000000,3040.000000,2894.071289,58708800
2020-07-28,3050.000000,3050.000000,3010.000000,3020.000000,2875.031494,102705300
2020-07-29,3030.000000,3050.000000,3000.000000,3000.000000,2855.991455,114352000
2020-07-30,3040.000000,3050.000000,3000.000000,3050.000000,2903.591309,95785000
2020-08-03,3060.000000,3060.000000,2850.000000,2920.000000,2779.831787,255659800
2020-08-04,2970.000000,2970.000000,2920.000000,2950.000000,2808.391602,96018000
2020-08-05,2960.000000,3040.000000,2920.000000,3020.000000,2875.031494,120719100
2020-08-06,3050.000000,3050.000000,3000.000000,3020.000000,2875.031494,71699000
2020-08-07,3020.000000,3030.000000,2970.000000,2980.000000,2836.951660,78347200
2020-08-10,3000.000000,3020.000000,2970.000000,2970.000000,2827.431641,65485400
2020-08-11,2980.000000,3000.000000,2930.000000,2930.000000,2789.351563,175693000
2020-08-12,2930.000000,2960.000000,2920.000000,2950.000000,2808.391602,110934800
2020-08-13,2950.000000,3020.000000,2950.000000,3010.000000,2865.511475,160906600
2020-08-14,3020.000000,3040.000000,3000.000000,3030.000000,2884.551514,93007500
2020-08-18,3030.000000,3060.000000,3000.000000,3050.000000,2903.591309,139358500
2020-08-19,3050.000000,3050.000000,3000.000000,3000.000000,2855.991455,103980600
2020-08-24,3010.000000,3020.000000,2990.000000,3000.000000,2855.991455,76713900
2020-08-25,3010.000000,3010.000000,2980.000000,2980.000000,2836.951660,100013600
2020-08-26,2980.000000,3050.000000,2980.000000,3020.000000,2875.031494,122465300
2020-08-27,3020.000000,3040.000000,2970.000000,2990.000000,2846.471436,102787800
2020-08-28,2990.000000,2990.000000,2940.000000,2960.000000,2817.911621,160569500
2020-08-31,2960.000000,2980.000000,2860.000000,2860.000000,2722.711914,204261100
2020-09-01,2900.000000,2910.000000,2860.000000,2900.000000,2760.791748,90565400
2020-09-02,2900.000000,2970.000000,2900.000000,2950.000000,2808.391602,107589800
2020-09-03,2950.000000,2960.000000,2880.000000,2900.000000,2760.791748,123106100
2020-09-04,2850.000000,2890.000000,2840.000000,2860.000000,2722.711914,143569100
2020-09-07,2870.000000,2910.000000,2870.000000,2900.000000,2760.791748,62206600
2020-09-08,2890.000000,2900.000000,2860.000000,2860.000000,2722.711914,80068200
2020-09-09,2850.000000,2860.000000,2800.000000,2800.000000,2665.592041,108397400
2020-09-10,2800.000000,2800.000000,2620.000000,2700.000000,2570.392334,287496300
2020-09-11,2670.000000,2840.000000,2650.000000,2810.000000,2675.112061,197756800
2020-09-14,2830.000000,2890.000000,2820.000000,2890.000000,2751.271729,127562700
2020-09-15,2890.000000,2900.000000,2810.000000,2830.000000,2694.151855,106215900
2020-09-16,2810.000000,2830.000000,2770.000000,2790.000000,2656.072021,68113400
2020-09-17,2810.000000,2850.000000,2780.000000,2820.000000,2684.632080,97257400
2020-09-18,2850.000000,2890.000000,2840.000000,2890.000000,2751.271729,162116700
2020-09-21,2890.000000,2910.000000,2800.000000,2810.000000,2675.112061,100305100
2020-09-22,2790.000000,2810.000000,2750.000000,2780.000000,2646.552002,75891600
2020-09-23,2770.000000,2810.000000,2740.000000,2800.000000,2665.592041,85953300
2020-09-24,2750.000000,2760.000000,2710.000000,2730.000000,2598.952148,74516800
2020-09-25,2720.000000,2740.000000,2670.000000,2690.000000,2560.872314,180968900
2020-09-28,2710.000000,2730.000000,2660.000000,2660.000000,2532.312500,89256700
2020-09-29,2690.000000,2690.000000,2630.000000,2630.000000,2503.752441,155853900
2020-09-30,2630.000000,2650.000000,2540.000000,2560.000000,2437.112793,235611600
2020-10-01,2600.000000,2760.000000,2600.000000,2750.000000,2617.992188,225006000
2020-10-02,2750.000000,2750.000000,2650.000000,2680.000000,2551.352295,140161900
2020-10-05,2690.000000,2710.000000,2640.000000,2650.000000,2522.792480,124720200
2020-10-06,2680.000000,2700.000000,2620.000000,2650.000000,2522.792480,148977400
2020-10-07,2650.000000,2670.000000,2620.000000,2660.000000,2532.312500,110186000
2020-10-08,2670.000000,2720.000000,2650.000000,2700.000000,2570.392334,154587800
2020-10-09,2710.000000,2750.000000,2700.000000,2730.000000,2598.952148,109122300
2020-10-12,2750.000000,2760.000000,2710.000000,2730.000000,2598.952148,77479100
2020-10-13,2730.000000,2740.000000,2680.000000,2730.000000,2598.952148,97205500
2020-10-14,2730.000000,2830.000000,2710.000000,2810.000000,2675.112061,183236500
2020-10-15,2800.000000,2850.000000,2760.000000,2780.000000,2646.552002,138462900
2020-10-16,2780.000000,2780.000000,2720.000000,2750.000000,2617.992188,135175000
2020-10-19,2800.000000,2810.000000,2710.000000,2710.000000,2579.912354,187840500
2020-10-20,2710.000000,2740.000000,2670.000000,2670.000000,2541.832520,168211100
2020-10-21,2680.000000,2710.000000,2670.000000,2680.000000,2551.352295,142146300
2020-10-22,2670.000000,2720.000000,2650.000000,2700.000000,2570.392334,257179400
2020-10-23,2710.000000,2720.000000,2630.000000,2630.000000,2503.752441,166356000
2020-10-26,2630.000000,2680.000000,2630.000000,2650.000000,2522.792480,97523200
2020-10-27,2640.000000,2690.000000,2620.000000,2620.000000,2494.232666,146366600
2020-11-02,2590.000000,2620.000000,2550.000000,2560.000000,2437.112793,391510600
2020-11-03,2570.000000,2590.000000,2540.000000,2580.000000,2456.152588,188874000
2020-11-04,2600.000000,2640.000000,2580.000000,2580.000000,2456.152588,150678200
2020-11-05,2630.000000,2810.000000,2620.000000,2770.000000,2637.032227,369260400
2020-11-06,2800.000000,2840.000000,2750.000000,2830.000000,2694.151855,243865800
2020-11-09,2860.000000,2900.000000,2840.000000,2880.000000,2741.751709,208192700
2020-11-10,2950.000000,2950.000000,2860.000000,2860.000000,2722.711914,195337300
2020-11-11,2900.000000,3100.000000,2880.000000,3080.000000,2932.151367,480530200
2020-11-12,3080.000000,3080.000000,3010.000000,3040.000000,2894.071289,169609900
2020-11-13,3010.000000,3010.000000,2950.000000,2990.000000,2846.471436,186708800
2020-11-16,3040.000000,3100.000000,3020.000000,3070.000000,2922.631348,206145500
2020-11-17,3100.000000,3270.000000,3100.000000,3220.000000,3065.430908,527501800
2020-11-18,3200.000000,3250.000000,3160.000000,3180.000000,3027.351074,239122600
2020-11-19,3150.000000,3220.000000,3140.000000,3170.000000,3017.831055,185558800
2020-11-20,3190.000000,3270.000000,3180.000000,3220.000000,3065.430908,211892500
2020-11-23,3230.000000,3340.000000,3220.000000,3320.000000,3160.630615,260752200
2020-11-24,3350.000000,3380.000000,3330.000000,3350.000000,3189.190430,207503900
2020-11-25,3370.000000,3390.000000,3280.000000,3280.000000,3122.550781,253156200
2020-11-26,3280.000000,3480.000000,3280.000000,3470.000000,3303.430176,374185400
2020-11-27,3480.000000,3500.000000,3420.000000,3460.000000,3293.910156,163651600
2020-11-30,3460.000000,3470.000000,3220.000000,3230.000000,3074.950928,624142600
2020-12-01,3230.000000,3320.000000,3160.000000,3240.000000,3084.470703,277929200
2020-12-02,3270.000000,3330.000000,3240.000000,3330.000000,3170.150635,187276600
2020-12-03,3330.000000,3360.000000,3280.000000,3300.000000,3141.590576,121434200
2020-12-04,3270.000000,3280.000000,3210.000000,3250.000000,3093.990723,170418900
2020-12-07,3280.000000,3330.000000,3260.000000,3330.000000,3170.150635,175436900
2020-12-08,3350.000000,3350.000000,3290.000000,3300.000000,3141.590576,113775100
2020-12-10,3270.000000,3290.000000,3250.000000,3260.000000,3103.510742,229380200
2020-12-11,3270.000000,3330.000000,3250.000000,3280.000000,3122.550781,154365400
2020-12-14,3300.000000,3340.000000,3250.000000,3320.000000,3160.630615,281474900
2020-12-15,3320.000000,3490.000000,3290.000000,3450.000000,3284.390137,410175700
2020-12-16,3500.000000,3640.000000,3500.000000,3610.000000,3436.709717,455088400
2020-12-17,3610.000000,3620.000000,3520.000000,3540.000000,3370.070068,249797800
2020-12-18,3500.000000,3540.000000,3500.000000,3510.000000,3341.510010,187856600
2020-12-21,3530.000000,3610.000000,3510.000000,3520.000000,3351.030029,267970200
2020-12-22,3500.000000,3540.000000,3340.000000,3360.000000,3198.710449,311860000
2020-12-23,3350.000000,3420.000000,3240.000000,3320.000000,3160.630615,240067600
2020-12-28,3370.000000,3460.000000,3280.000000,3430.000000,3265.350342,178138100
2020-12-29,3500.000000,3530.000000,3400.000000,3420.000000,3255.830322,184525500
2020-12-30,3420.000000,3420.000000,3310.000000,3310.000000,3151.110596,150844500
2021-01-04,3320.000000,3500.000000,3310.000000,3490.000000,3322.469971,165339800
2021-01-05,3480.000000,3480.000000,3420.000000,3470.000000,3303.430176,157800700
2021-01-06,3470.000000,3490.000000,3330.000000,3370.000000,3208.230469,177877900
2021-01-07,3390.000000,3450.000000,3380.000000,3390.000000,3227.270264,140221900
2021-01-08,3450.000000,3620.000000,3440.000000,3570.000000,3398.629883,492643700
2021-01-11,3590.000000,3640.000000,3570.000000,3600.000000,3427.189697,271231200
2021-01-12,3600.000000,3620.000000,3500.000000,3510.000000,3341.510010,189779500
2021-01-13,3550.000000,3550.000000,3460.000000,3480.000000,3312.950195,162329300
2021-01-14,3480.000000,3590.000000,3470.000000,3500.000000,3331.989990,187448400
2021-01-15,3510.000000,3540.000000,3450.000000,3480.000000,3312.950195,133304300
2021-01-18,3480.000000,3520.000000,3430.000000,3450.000000,3284.390137,138913100
2021-01-19,3470.000000,3490.000000,3370.000000,3410.000000,3246.310303,144100700
2021-01-20,3420.000000,3480.000000,3380.000000,3470.000000,3303.430176,116098100
2021-01-21,3500.000000,3520.000000,3460.000000,3480.000000,3312.950195,81801900
2021-01-22,3420.000000,3440.000000,3360.000000,3390.000000,3227.270264,165024200
