Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,2520.000000,2590.000000,2500.000000,2510.000000,2510.000000,1635300
2020-07-27,2520.000000,2590.000000,2510.000000,2560.000000,2560.000000,2569600
2020-07-28,2540.000000,2590.000000,2500.000000,2510.000000,2510.000000,2570600
2020-07-29,2510.000000,2540.000000,2340.000000,2340.000000,2340.000000,14882100
2020-07-30,2350.000000,2420.000000,2210.000000,2300.000000,2300.000000,12918400
2020-08-03,2320.000000,2330.000000,2140.000000,2170.000000,2170.000000,8778700
2020-08-04,2170.000000,2330.000000,2170.000000,2320.000000,2320.000000,5098900
2020-08-05,2340.000000,2370.000000,2270.000000,2360.000000,2360.000000,4611700
2020-08-06,2350.000000,2440.000000,2350.000000,2400.000000,2400.000000,6064100
2020-08-07,2400.000000,2430.000000,2330.000000,2390.000000,2390.000000,3955800
2020-08-10,2430.000000,2430.000000,2390.000000,2390.000000,2390.000000,2045300
2020-08-11,2400.000000,2430.000000,2380.000000,2410.000000,2410.000000,2564900
2020-08-12,2410.000000,2440.000000,2340.000000,2390.000000,2390.000000,2976300
2020-08-13,2390.000000,2530.000000,2390.000000,2510.000000,2510.000000,12907200
2020-08-14,2520.000000,2570.000000,2460.000000,2540.000000,2540.000000,8406900
2020-08-18,2530.000000,2570.000000,2490.000000,2490.000000,2490.000000,6776700
2020-08-19,2530.000000,2530.000000,2460.000000,2490.000000,2490.000000,4034700
2020-08-24,2500.000000,2510.000000,2430.000000,2460.000000,2460.000000,2377900
2020-08-25,2490.000000,2510.000000,2460.000000,2470.000000,2470.000000,3045000
2020-08-26,2470.000000,2540.000000,2440.000000,2500.000000,2500.000000,8676200
2020-08-27,2510.000000,2540.000000,2390.000000,2430.000000,2430.000000,11288200
2020-08-28,2430.000000,2440.000000,2360.000000,2380.000000,2380.000000,3843200
2020-08-31,2400.000000,2420.000000,2250.000000,2300.000000,2300.000000,7804200
2020-09-01,2300.000000,2350.000000,2290.000000,2300.000000,2300.000000,2652800
2020-09-02,2310.000000,2340.000000,2300.000000,2330.000000,2330.000000,4515700
2020-09-03,2350.000000,2420.000000,2340.000000,2360.000000,2360.000000,6971500
2020-09-04,2330.000000,2360.000000,2300.000000,2310.000000,2310.000000,3701500
2020-09-07,2320.000000,2320.000000,2260.000000,2290.000000,2290.000000,2098200
2020-09-08,2300.000000,2310.000000,2250.000000,2260.000000,2260.000000,2616500
2020-09-09,2250.000000,2290.000000,2200.000000,2220.000000,2220.000000,2723500
2020-09-10,2220.000000,2220.000000,2080.000000,2080.000000,2080.000000,5892300
2020-09-11,2080.000000,2280.000000,1950.000000,2250.000000,2250.000000,3827500
2020-09-14,2260.000000,2350.000000,2250.000000,2260.000000,2260.000000,5787700
2020-09-15,2260.000000,2290.000000,2160.000000,2170.000000,2170.000000,2937600
2020-09-16,2170.000000,2220.000000,2160.000000,2170.000000,2170.000000,1344100
2020-09-17,2170.000000,2200.000000,2110.000000,2130.000000,2130.000000,1552500
2020-09-18,2120.000000,2190.000000,2120.000000,2150.000000,2150.000000,1460700
2020-09-21,2160.000000,2170.000000,2020.000000,2030.000000,2030.000000,3178800
2020-09-22,2030.000000,2070.000000,1965.000000,2000.000000,2000.000000,4609900
2020-09-23,2000.000000,2050.000000,1945.000000,1955.000000,1955.000000,4831900
2020-09-24,1955.000000,1955.000000,1870.000000,1930.000000,1930.000000,5155800
2020-09-25,1950.000000,1980.000000,1915.000000,1945.000000,1945.000000,3515900
2020-09-28,1965.000000,2040.000000,1950.000000,2040.000000,2040.000000,4955400
2020-09-29,2060.000000,2070.000000,1990.000000,2020.000000,2020.000000,4591800
2020-09-30,2030.000000,2030.000000,1955.000000,1990.000000,1990.000000,2763500
2020-10-01,1990.000000,2140.000000,1990.000000,2070.000000,2070.000000,6981400
2020-10-02,2070.000000,2070.000000,1985.000000,2000.000000,2000.000000,2976600
2020-10-05,2030.000000,2040.000000,2000.000000,2020.000000,2020.000000,1033000
2020-10-06,2100.000000,2110.000000,2040.000000,2040.000000,2040.000000,4948000
2020-10-07,2040.000000,2130.000000,2020.000000,2080.000000,2080.000000,7003400
2020-10-08,2080.000000,2120.000000,2060.000000,2070.000000,2070.000000,2707700
2020-10-09,2070.000000,2100.000000,2060.000000,2070.000000,2070.000000,1309100
2020-10-12,2080.000000,2110.000000,2050.000000,2060.000000,2060.000000,2158000
2020-10-13,2060.000000,2100.000000,2030.000000,2060.000000,2060.000000,5637900
2020-10-14,2060.000000,2120.000000,2050.000000,2090.000000,2090.000000,8956600
2020-10-15,2070.000000,2100.000000,2030.000000,2040.000000,2040.000000,4049600
2020-10-16,2040.000000,2080.000000,2030.000000,2050.000000,2050.000000,3887500
2020-10-19,2070.000000,2080.000000,2040.000000,2070.000000,2070.000000,3706400
2020-10-20,2070.000000,2070.000000,2020.000000,2040.000000,2040.000000,1771100
2020-10-21,2050.000000,2080.000000,2030.000000,2050.000000,2050.000000,1762500
2020-10-22,2050.000000,2060.000000,2020.000000,2040.000000,2040.000000,858900
2020-10-23,2040.000000,2070.000000,2030.000000,2050.000000,2050.000000,971200
2020-10-26,2050.000000,2070.000000,2000.000000,2020.000000,2020.000000,7546700
2020-10-27,2020.000000,2040.000000,2000.000000,2010.000000,2010.000000,1822600
