Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,107.000000,139.000000,106.000000,139.000000,139.000000,2205588000
2020-07-27,143.000000,168.000000,138.000000,142.000000,142.000000,2415778700
2020-07-28,142.000000,151.000000,134.000000,138.000000,138.000000,853341600
2020-07-29,139.000000,157.000000,135.000000,153.000000,153.000000,1524897900
2020-07-30,156.000000,156.000000,143.000000,143.000000,143.000000,425144200
2020-08-03,139.000000,141.000000,133.000000,133.000000,133.000000,139234000
2020-08-04,125.000000,137.000000,124.000000,132.000000,132.000000,431996200
2020-08-05,136.000000,148.000000,135.000000,144.000000,144.000000,843424400
2020-08-06,138.000000,152.000000,138.000000,146.000000,146.000000,364580700
2020-08-07,147.000000,150.000000,140.000000,143.000000,143.000000,167540500
2020-08-10,144.000000,149.000000,133.000000,133.000000,133.000000,519498300
2020-08-11,135.000000,135.000000,124.000000,130.000000,130.000000,784675900
2020-08-12,132.000000,133.000000,127.000000,128.000000,128.000000,218484900
2020-08-13,128.000000,130.000000,120.000000,120.000000,120.000000,690940500
2020-08-14,114.000000,125.000000,112.000000,112.000000,112.000000,997819700
2020-08-18,112.000000,113.000000,105.000000,105.000000,105.000000,952167300
2020-08-19,105.000000,110.000000,99.000000,100.000000,100.000000,905304300
2020-08-24,102.000000,104.000000,96.000000,98.000000,98.000000,696999000
2020-08-25,98.000000,100.000000,92.000000,92.000000,92.000000,947047000
2020-08-26,92.000000,108.000000,87.000000,106.000000,106.000000,2446642900
2020-08-27,110.000000,110.000000,99.000000,99.000000,99.000000,1340014300
2020-08-28,94.000000,98.000000,93.000000,93.000000,93.000000,802282200
2020-08-31,88.000000,98.000000,88.000000,90.000000,90.000000,641972800
2020-09-01,92.000000,94.000000,89.000000,91.000000,91.000000,293847200
2020-09-02,91.000000,96.000000,90.000000,92.000000,92.000000,650234600
2020-09-03,92.000000,94.000000,90.000000,92.000000,92.000000,341114700
2020-09-04,92.000000,93.000000,89.000000,91.000000,91.000000,281163400
2020-09-07,91.000000,92.000000,89.000000,90.000000,90.000000,136769200
2020-09-08,91.000000,92.000000,86.000000,87.000000,87.000000,460630800
2020-09-09,87.000000,90.000000,84.000000,87.000000,87.000000,326611400
2020-09-10,87.000000,88.000000,81.000000,81.000000,81.000000,268853800
2020-09-11,76.000000,82.000000,76.000000,80.000000,80.000000,541187600
2020-09-14,82.000000,90.000000,80.000000,87.000000,87.000000,553182200
2020-09-15,88.000000,90.000000,84.000000,85.000000,85.000000,232696500
2020-09-16,86.000000,87.000000,84.000000,84.000000,84.000000,77259100
2020-09-17,85.000000,87.000000,83.000000,84.000000,84.000000,85851600
2020-09-18,84.000000,85.000000,79.000000,79.000000,79.000000,170071700
2020-09-21,80.000000,83.000000,77.000000,78.000000,78.000000,159552500
2020-09-22,78.000000,78.000000,74.000000,77.000000,77.000000,170558600
2020-09-23,78.000000,80.000000,73.000000,75.000000,75.000000,171688400
2020-09-24,74.000000,76.000000,70.000000,71.000000,71.000000,177931100
2020-09-25,72.000000,81.000000,70.000000,77.000000,77.000000,588131100
2020-09-28,80.000000,80.000000,76.000000,76.000000,76.000000,125721900
2020-09-29,76.000000,80.000000,74.000000,75.000000,75.000000,188762400
2020-09-30,75.000000,77.000000,74.000000,75.000000,75.000000,77415200
2020-10-01,75.000000,82.000000,75.000000,80.000000,80.000000,447909400
2020-10-02,80.000000,83.000000,77.000000,78.000000,78.000000,267369000
2020-10-05,80.000000,80.000000,77.000000,77.000000,77.000000,57272500
2020-10-06,77.000000,87.000000,77.000000,87.000000,87.000000,691635800
2020-10-07,87.000000,89.000000,84.000000,85.000000,85.000000,439665800
2020-10-08,86.000000,87.000000,83.000000,83.000000,83.000000,151641800
2020-10-09,83.000000,85.000000,82.000000,84.000000,84.000000,94193900
2020-10-12,85.000000,85.000000,82.000000,83.000000,83.000000,120748300
2020-10-13,83.000000,86.000000,80.000000,84.000000,84.000000,445126500
2020-10-14,84.000000,87.000000,83.000000,83.000000,83.000000,309150300
2020-10-15,84.000000,85.000000,82.000000,83.000000,83.000000,124274200
2020-10-16,83.000000,84.000000,82.000000,82.000000,82.000000,74205800
2020-10-19,83.000000,85.000000,80.000000,82.000000,82.000000,284250500
2020-10-20,82.000000,82.000000,77.000000,78.000000,78.000000,420904400
2020-10-21,79.000000,80.000000,78.000000,79.000000,79.000000,99453000
2020-10-22,79.000000,79.000000,74.000000,75.000000,75.000000,418378900
2020-10-23,75.000000,76.000000,70.000000,73.000000,73.000000,379749800
2020-10-26,73.000000,73.000000,68.000000,68.000000,68.000000,805610300
2020-10-27,68.000000,71.000000,66.000000,70.000000,70.000000,365544400
2020-11-02,69.000000,71.000000,66.000000,67.000000,67.000000,345868300
2020-11-03,67.000000,69.000000,67.000000,68.000000,68.000000,89997100
2020-11-04,68.000000,70.000000,66.000000,67.000000,67.000000,124820000
2020-11-05,68.000000,69.000000,64.000000,66.000000,66.000000,591275400
2020-11-06,67.000000,67.000000,62.000000,64.000000,64.000000,526431600
2020-11-09,62.000000,66.000000,62.000000,63.000000,63.000000,463413300
2020-11-10,64.000000,65.000000,61.000000,63.000000,63.000000,444987300
2020-11-11,65.000000,69.000000,63.000000,69.000000,69.000000,1864840400
2020-11-12,69.000000,70.000000,65.000000,65.000000,65.000000,1700863100
2020-11-13,63.000000,65.000000,61.000000,61.000000,61.000000,1658013300
2020-11-16,60.000000,63.000000,59.000000,62.000000,62.000000,642757000
2020-11-17,65.000000,65.000000,61.000000,63.000000,63.000000,525624800
2020-11-18,63.000000,67.000000,62.000000,65.000000,65.000000,1161637200
2020-11-19,65.000000,66.000000,64.000000,65.000000,65.000000,629741000
2020-11-20,66.000000,73.000000,64.000000,68.000000,68.000000,3572010200
2020-11-23,68.000000,72.000000,68.000000,70.000000,70.000000,1839309100
2020-11-24,71.000000,77.000000,70.000000,74.000000,74.000000,3158096100
2020-11-25,76.000000,77.000000,70.000000,73.000000,73.000000,2790811600
2020-11-26,73.000000,74.000000,70.000000,70.000000,70.000000,2126593500
2020-11-27,70.000000,73.000000,69.000000,69.000000,69.000000,1439738000
2020-11-30,70.000000,71.000000,66.000000,67.000000,67.000000,2577766600
2020-12-01,67.000000,70.000000,65.000000,68.000000,68.000000,942013800
2020-12-02,68.000000,69.000000,66.000000,67.000000,67.000000,732452300
2020-12-03,68.000000,68.000000,64.000000,65.000000,65.000000,1047307400
2020-12-04,65.000000,69.000000,64.000000,67.000000,67.000000,961425400
2020-12-07,68.000000,70.000000,66.000000,69.000000,69.000000,2291372100
2020-12-08,70.000000,84.000000,68.000000,78.000000,78.000000,8458832000
2020-12-10,80.000000,83.000000,74.000000,75.000000,75.000000,4234638200
2020-12-11,75.000000,77.000000,73.000000,74.000000,74.000000,1513244200
2020-12-14,74.000000,80.000000,74.000000,76.000000,76.000000,4186358900
2020-12-15,77.000000,77.000000,73.000000,75.000000,75.000000,2154048900
2020-12-16,76.000000,82.000000,71.000000,73.000000,73.000000,6891566200
2020-12-17,73.000000,74.000000,71.000000,72.000000,72.000000,1712290700
2020-12-18,73.000000,75.000000,72.000000,72.000000,72.000000,2092008700
2020-12-21,74.000000,75.000000,72.000000,72.000000,72.000000,1076225300
2020-12-22,73.000000,74.000000,70.000000,70.000000,70.000000,1469799200
2020-12-23,70.000000,72.000000,67.000000,70.000000,70.000000,1327955700
2020-12-28,70.000000,73.000000,69.000000,71.000000,71.000000,618116900
2020-12-29,72.000000,72.000000,69.000000,70.000000,70.000000,652380000
2020-12-30,70.000000,70.000000,67.000000,67.000000,67.000000,864942800
2021-01-04,67.000000,71.000000,66.000000,70.000000,70.000000,1026169400
2021-01-05,70.000000,70.000000,68.000000,68.000000,68.000000,386563200
2021-01-06,69.000000,69.000000,66.000000,68.000000,68.000000,566155400
2021-01-07,68.000000,69.000000,66.000000,67.000000,67.000000,538235100
2021-01-08,67.000000,69.000000,67.000000,67.000000,67.000000,667505300
2021-01-11,68.000000,68.000000,66.000000,66.000000,66.000000,643605900
2021-01-12,67.000000,67.000000,65.000000,66.000000,66.000000,559609800
2021-01-13,66.000000,73.000000,64.000000,73.000000,73.000000,2973514600
2021-01-14,75.000000,76.000000,70.000000,70.000000,70.000000,2513217900
2021-01-15,70.000000,71.000000,67.000000,68.000000,68.000000,673346000
2021-01-18,68.000000,72.000000,67.000000,68.000000,68.000000,731555400
2021-01-19,68.000000,69.000000,66.000000,66.000000,66.000000,609174000
2021-01-20,66.000000,68.000000,66.000000,67.000000,67.000000,444325700
2021-01-21,67.000000,71.000000,67.000000,68.000000,68.000000,872836500
2021-01-22,68.000000,68.000000,66.000000,66.000000,66.000000,409719700
2021-01-25,62.000000,66.000000,62.000000,62.000000,62.000000,1311698400
2021-01-26,62.000000,64.000000,58.000000,60.000000,60.000000,1332697700
2021-01-27,62.000000,63.000000,59.000000,60.000000,60.000000,718787600
2021-01-28,59.000000,60.000000,56.000000,56.000000,56.000000,758868200
2021-01-29,56.000000,57.000000,53.000000,54.000000,54.000000,974724800
2021-02-01,54.000000,58.000000,51.000000,57.000000,57.000000,671971000
2021-02-02,58.000000,61.000000,56.000000,59.000000,59.000000,580086100
2021-02-03,59.000000,60.000000,58.000000,58.000000,58.000000,128336100
2021-02-04,58.000000,59.000000,56.000000,56.000000,56.000000,173613000
2021-02-05,57.000000,58.000000,56.000000,57.000000,57.000000,176852600
2021-02-08,58.000000,59.000000,57.000000,57.000000,57.000000,261924000
2021-02-09,58.000000,60.000000,57.000000,58.000000,58.000000,564542400
2021-02-10,58.000000,59.000000,57.000000,58.000000,58.000000,126694300
2021-02-11,58.000000,59.000000,57.000000,58.000000,58.000000,178116300
2021-02-15,58.000000,59.000000,58.000000,58.000000,58.000000,104229800
2021-02-16,59.000000,66.000000,58.000000,66.000000,66.000000,1789526600
2021-02-17,67.000000,69.000000,63.000000,64.000000,64.000000,1224848400
2021-02-18,65.000000,66.000000,63.000000,63.000000,63.000000,299609300
2021-02-19,63.000000,64.000000,61.000000,62.000000,62.000000,346202000
2021-02-22,62.000000,64.000000,59.000000,61.000000,61.000000,599781800
2021-02-23,62.000000,66.000000,60.000000,66.000000,66.000000,815783600
2021-02-24,66.000000,69.000000,64.000000,69.000000,69.000000,1308498900
2021-02-25,69.000000,79.000000,69.000000,78.000000,78.000000,6820438500
2021-02-26,76.000000,80.000000,73.000000,77.000000,77.000000,3285619400
2021-03-01,77.000000,83.000000,77.000000,82.000000,82.000000,2819377900
2021-03-02,83.000000,85.000000,79.000000,81.000000,81.000000,2705420600
2021-03-03,81.000000,86.000000,79.000000,86.000000,86.000000,3296692800
2021-03-04,86.000000,90.000000,82.000000,89.000000,89.000000,3330091900
2021-03-05,89.000000,89.000000,85.000000,87.000000,87.000000,1455353600
2021-03-08,89.000000,90.000000,83.000000,83.000000,83.000000,1322546600
